year,species_code,hauljoin,sex,age,length
2013,21720,-9864,1,1,170
2013,21720,-10106,2,7,850
2013,21720,-10197,2,5,650
2013,21720,-9873,1,4,550
2013,21720,-9870,1,3,470
2013,21720,-10267,1,6,780
2013,21720,-9863,1,1,250
2013,21720,-9860,1,5,590
2013,21720,-9752,2,2,260
2013,21720,-10034,1,2,300
2013,21720,-10148,1,2,300
2013,21720,-10208,2,7,860
2013,21720,-10028,1,5,590
2013,21720,-10072,1,4,610
2013,21720,-10202,2,3,410
2013,21720,-9813,2,5,600
2013,21720,-9752,1,1,150
2013,21720,-10041,2,2,250
2013,21720,-10026,2,5,680
2013,21720,-9813,1,2,250
2013,21720,-10197,1,5,610
2013,21720,-10118,1,5,730
2013,21720,-9814,2,5,680
2013,21720,-10043,1,3,460
2013,21720,-10123,2,1,180
2013,21720,-9870,1,2,310
2013,21720,-10231,2,5,580
2013,21720,-10038,2,3,400
2013,21720,-9756,2,3,440
2013,21720,-10246,1,1,170
2013,21720,-10127,1,5,670
2013,21720,-9869,1,3,370
2013,21720,-10089,2,8,930
2013,21720,-10141,1,3,460
2013,21720,-10072,1,2,270
2013,21720,-9858,2,2,250
2013,21720,-9871,1,3,390
2013,21720,-10167,1,4,520
2013,21720,-9748,2,6,690
2013,21720,-10126,2,2,350
2013,21720,-10167,2,4,550
2013,21720,-10075,1,5,630
2013,21720,-9813,1,4,580
2013,21720,-10092,1,1,180
2013,21720,-10118,1,5,650
2013,21720,-10026,1,5,690
2013,21720,-9859,1,1,100
2013,21720,-10127,2,1,130
2013,21720,-10269,1,6,740
2013,21720,-10072,1,5,630
2013,21720,-9756,2,3,390
2013,21720,-9834,2,6,740
2013,21720,-10046,2,2,390
2013,21720,-9873,1,3,380
2013,21720,-10030,2,4,510
2013,21720,-9872,1,4,520
2013,21720,-9895,1,4,480
2013,21720,-10126,2,2,290
2013,21720,-9895,1,4,490
2013,21720,-10088,2,4,550
2013,21720,-10147,2,4,510
2013,21720,-9833,1,5,630
2013,21720,-9863,2,5,650
2013,21720,-10043,2,5,640
2013,21720,-9752,1,2,330
2013,21720,-10039,1,1,150
2013,21720,-9873,2,3,360
2013,21720,-9814,2,3,470
2013,21720,-10120,1,3,430
2013,21720,-10087,2,2,250
2013,21720,-10123,1,2,340
2013,21720,-10034,2,6,720
2013,21720,-10197,1,4,540
2013,21720,-9836,1,3,410
2013,21720,-10192,1,4,490
2013,21720,-10025,1,6,710
2013,21720,-10276,1,7,780
2013,21720,-10284,1,6,710
2013,21720,-10072,2,5,630
2013,21720,-9895,3,1,100
2013,21720,-10042,1,2,290
2013,21720,-10203,1,2,220
2013,21720,-10030,2,3,460
2013,21720,-10092,1,1,170
2013,21720,-9752,2,2,270
2013,21720,-10088,2,2,330
2013,21720,-10073,1,2,360
2013,21720,-10073,1,2,260
2013,21720,-10100,1,2,280
2013,21720,-10148,1,2,350
2013,21720,-10284,2,7,820
2013,21720,-10080,2,2,330
2013,21720,-9863,1,2,260
2013,21720,-9905,3,1,90
2013,21720,-10043,2,4,600
2013,21720,-10042,1,4,530
2013,21720,-10197,1,5,570
2013,21720,-10202,1,3,420
2013,21720,-10092,2,5,560
2013,21720,-10072,1,4,470
2013,21720,-9861,2,1,160
2013,21720,-10026,2,4,620
2013,21720,-10192,1,6,760
2013,21720,-9748,1,2,290
2013,21720,-10212,2,3,510
2013,21720,-10042,1,2,320
2013,21720,-10075,2,6,720
2013,21720,-10050,1,5,620
2013,21720,-9814,2,3,430
2013,21720,-10177,1,4,520
2013,21720,-10028,1,4,570
2013,21720,-9834,1,5,600
2013,21720,-9756,2,3,490
2013,21720,-9902,1,6,680
2013,21720,-9750,1,2,270
2013,21720,-10203,2,2,280
2013,21720,-9748,2,5,590
2013,21720,-9859,1,1,130
2013,21720,-10203,2,2,340
2013,21720,-10092,1,2,230
2013,21720,-9812,2,7,760
2013,21720,-10120,2,3,450
2013,21720,-10026,2,4,570
2013,21720,-10197,1,6,730
2013,21720,-10197,1,9,800
2013,21720,-10246,2,2,190
2013,21720,-10208,2,6,820
2013,21720,-9814,2,2,290
2013,21720,-9814,2,4,570
2013,21720,-10123,1,3,440
2013,21720,-9817,2,2,380
2013,21720,-10033,2,3,380
2013,21720,-10080,1,4,480
2013,21720,-10138,1,5,640
2013,21720,-10069,1,3,450
2013,21720,-10186,1,1,160
2013,21720,-9855,2,3,400
2013,21720,-10141,2,4,470
2013,21720,-10123,1,2,240
2013,21720,-10080,1,3,450
2013,21720,-10072,2,1,150
2013,21720,-10053,1,4,520
2013,21720,-10053,2,3,460
2013,21720,-10161,1,3,410
2013,21720,-10033,1,2,310
2013,21720,-9748,1,5,630
2013,21720,-9834,2,5,670
2013,21720,-10075,1,6,670
2013,21720,-10043,1,5,600
2013,21720,-9814,2,3,450
2013,21720,-9869,2,3,340
2013,21720,-10246,2,2,210
2013,21720,-10060,1,3,380
2013,21720,-10033,2,2,290
2013,21720,-9748,2,2,290
2013,21720,-10075,1,6,690
2013,21720,-9813,2,2,280
2013,21720,-10192,1,6,710
2013,21720,-10118,1,5,710
2013,21720,-10185,2,5,730
2013,21720,-10073,1,2,350
2013,21720,-10039,1,5,620
2013,21720,-9872,2,3,420
2013,21720,-9870,1,7,740
2013,21720,-9864,1,5,650
2013,21720,-10269,1,7,750
2013,21720,-10147,1,6,700
2013,21720,-10126,2,2,260
2013,21720,-10034,2,2,280
2013,21720,-10141,2,3,460
2013,21720,-9814,1,3,350
2013,21720,-9752,2,1,150
2013,21720,-9858,1,6,670
2013,21720,-10144,2,2,280
2013,21720,-10089,1,2,350
2013,21720,-9833,1,5,550
2013,21720,-10053,2,7,800
2013,21720,-9748,2,1,310
2013,21720,-10075,1,5,580
2013,21720,-10060,1,4,570
2013,21720,-9869,2,5,630
2013,21720,-10246,1,1,160
2013,21720,-9861,2,3,400
2013,21720,-10092,1,7,760
2013,21720,-10069,1,4,510
2013,21720,-9872,1,3,360
2013,21720,-9813,1,1,150
2013,21720,-9810,2,7,850
2013,21720,-10149,2,4,520
2013,21720,-10246,2,2,250
2013,21720,-10080,2,3,440
2013,21720,-9754,2,2,340
2013,21720,-10043,2,4,560
2013,21720,-10126,2,1,210
2013,21720,-10197,2,5,620
2013,21720,-9869,1,2,330
2013,21720,-10100,1,5,700
2013,21720,-9864,2,5,660
2013,21720,-10080,2,3,420
2013,21720,-10212,2,4,480
2013,21720,-10272,1,7,840
2013,21720,-10203,1,3,380
2013,21720,-9834,2,7,820
2013,21720,-10141,2,4,580
2013,21720,-10053,1,3,470
2013,21720,-10197,2,5,690
2013,21720,-9748,2,5,620
2013,21720,-10033,2,2,310
2013,21720,-10100,1,3,380
2013,21720,-10212,1,3,500
2013,21720,-10269,1,8,780
2013,21720,-9814,2,4,490
2013,21720,-10034,2,2,240
2013,21720,-10026,2,4,590
2013,21720,-10197,1,4,500
2013,21720,-10092,1,2,240
2013,21720,-10129,1,5,540
2013,21720,-10212,1,5,610
2013,21720,-10281,1,7,790
2013,21720,-9863,1,3,320
2013,21720,-10025,2,4,510
2013,21720,-10197,2,5,640
2013,21720,-10088,2,2,270
2013,21720,-10075,2,5,570
2013,21720,-9813,1,2,280
2013,21720,-10080,1,3,400
2013,21720,-10080,2,4,520
2013,21720,-10041,1,2,270
2013,21720,-9750,2,7,790
2013,21720,-10149,3,1,140
2013,21720,-10181,1,9,880
2013,21720,-10212,1,4,530
2013,21720,-10272,2,5,700
2013,21720,-10060,1,4,540
2013,21720,-10082,2,2,260
2013,21720,-10060,2,5,680
2013,21720,-9756,2,3,410
2013,21720,-9895,1,3,460
2013,21720,-10197,2,5,660
2013,21720,-9868,2,4,540
2013,21720,-9813,3,1,140
2013,21720,-10014,1,4,570
2013,21720,-9880,2,5,550
2013,21720,-9895,1,2,350
2013,21720,-9895,1,2,300
2013,21720,-10284,2,5,720
2013,21720,-10138,1,2,310
2013,21720,-10075,2,6,620
2013,21720,-10046,2,4,570
2013,21720,-9754,1,3,360
2013,21720,-9864,2,6,790
2013,21720,-10073,1,4,570
2013,21720,-10080,2,2,340
2013,21720,-10118,1,5,690
2013,21720,-10080,2,4,510
2013,21720,-9813,1,2,260
2013,21720,-10281,2,6,810
2013,21720,-9814,2,4,510
2013,21720,-10069,2,5,570
2013,21720,-9864,1,2,270
2013,21720,-10161,2,2,260
2013,21720,-10141,2,5,610
2013,21720,-10077,2,1,170
2013,21720,-10192,1,5,650
2013,21720,-10028,1,3,410
2013,21720,-10144,1,2,290
2013,21720,-10075,2,5,650
2013,21720,-10048,2,2,280
2013,21720,-10001,2,6,730
2013,21720,-10002,1,7,830
2013,21720,-10030,2,5,740
2013,21720,-10080,2,3,460
2013,21720,-10185,2,6,760
2013,21720,-10080,2,2,350
2013,21720,-10192,2,5,630
2013,21720,-10026,1,3,500
2013,21720,-10192,2,4,520
2013,21720,-9864,2,6,670
2013,21720,-10120,2,5,700
2013,21720,-9754,2,2,350
2013,21720,-9834,2,6,700
