sim,year,species_code,sex,rss,sex_desc
1,2018,21720,2,176.0191017797537,female
1,2018,21720,4,238.34499937247105,total_post
2,2018,21720,0,147.4103261510604,total_pre
2,2018,21720,1,271.2962453473834,male
2,2018,21720,2,123.60328565838385,female
2,2018,21720,4,297.3508334019325,total_post
3,2018,21720,0,108.8929919793478,total_pre
3,2018,21720,1,437.0779562181001,male
3,2018,21720,2,173.21456166685402,female
3,2018,21720,4,421.8657505217832,total_post
4,2018,21720,0,116.43272288668054,total_pre
4,2018,21720,1,336.486023102816,male
4,2018,21720,2,62.92036414777309,female
4,2018,21720,4,134.73438840318494,total_post
5,2018,21720,0,126.99430588153028,total_pre
5,2018,21720,1,177.81020648100676,male
5,2018,21720,2,178.6735213361392,female
5,2018,21720,4,266.43621472490594,total_post
1,2018,21720,12,372.28623437695825,female_male
2,2018,21720,12,305.6354225581205,female_male
3,2018,21720,12,546.4882724076925,female_male
4,2018,21720,12,214.63574105435075,female_male
5,2018,21720,12,394.0546226827692,female_male
1,2018,21740,0,130.40106359349522,total_pre
1,2018,21740,1,91.49609427509682,male
1,2018,21740,2,118.59543214841563,female
1,2018,21740,4,144.71217405854924,total_post
2,2018,21740,0,137.19485758582042,total_pre
2,2018,21740,1,118.47658633351722,male
2,2018,21740,2,147.12810590730172,female
2,2018,21740,4,158.98183973674966,total_post
3,2018,21740,0,180.49460236629363,total_pre
3,2018,21740,1,157.44323592110223,male
3,2018,21740,2,85.18327425026426,female
3,2018,21740,4,219.5762239973357,total_post
4,2018,21740,0,122.26361095254177,total_pre
4,2018,21740,1,64.80754697168665,male
4,2018,21740,2,83.49494743232245,female
4,2018,21740,4,97.19801658041428,total_post
5,2018,21740,0,62.790542546123525,total_pre
5,2018,21740,1,74.22241810478303,male
5,2018,21740,2,55.660942979327366,female
5,2018,21740,4,70.95041896274265,total_post
1,2018,21740,12,218.94820964779697,female_male
2,2018,21740,12,284.9470011478649,female_male
3,2018,21740,12,251.19571701252403,female_male
4,2018,21740,12,156.31815459256606,female_male
5,2018,21740,12,130.0972386723506,female_male
1,2019,21720,0,217.07040326670634,total_pre
1,2019,21720,1,125.80272391699542,male
1,2019,21720,2,96.6473908876858,female
1,2019,21720,4,112.26142845969882,total_post
2,2019,21720,0,39.38987586087804,total_pre
2,2019,21720,1,18.18813807062177,male
2,2019,21720,2,31.988937100298877,female
2,2019,21720,4,24.473774468728273,total_post
3,2019,21720,0,584.3586248412801,total_pre
3,2019,21720,1,554.9971699436466,male
3,2019,21720,2,231.60923033290646,female
3,2019,21720,4,466.0905647249261,total_post
4,2019,21720,0,279.77734710534486,total_pre
4,2019,21720,1,127.24723318353762,male
4,2019,21720,2,296.2681035279179,female
4,2019,21720,4,239.8143509118156,total_post
5,2019,21720,0,483.5327328741234,total_pre
5,2019,21720,1,60.96363392072044,male
5,2019,21720,2,300.3916099962675,female
5,2019,21720,4,140.10694704075445,total_post
1,2019,21720,12,268.4898910007815,female_male
2,2019,21720,12,53.30737077521218,female_male
3,2019,21720,12,724.9902343864175,female_male
4,2019,21720,12,242.84592577466964,female_male
5,2019,21720,12,255.63279681107133,female_male
1,2019,21740,0,194.2716613955047,total_pre
1,2019,21740,1,124.08456983944893,male
1,2019,21740,2,283.2362433609277,female
1,2019,21740,4,310.97352328371676,total_post
2,2019,21740,0,66.1825853006996,total_pre
2,2019,21740,1,33.67680312330269,male
2,2019,21740,2,45.06535821600277,female
2,2019,21740,4,48.3254619589781,total_post
3,2019,21740,0,149.88700744240808,total_pre
3,2019,21740,1,74.5091558897939,male
3,2019,21740,2,81.20639099782399,female
3,2019,21740,4,144.15846813983097,total_post
4,2019,21740,0,63.350904479977736,total_pre
4,2019,21740,1,78.29825516917286,male
4,2019,21740,2,110.34666413762974,female
4,2019,21740,4,105.43484906306102,total_post
5,2019,21740,0,125.75214469592167,total_pre
5,2019,21740,1,204.6129529495331,male
5,2019,21740,2,87.49357356787138,female
5,2019,21740,4,199.5990048873221,total_post
1,2019,21740,12,378.68111980186615,female_male
2,2019,21740,12,83.16703247681409,female_male
3,2019,21740,12,172.27662314445385,female_male
4,2019,21740,12,204.4889764807987,female_male
5,2019,21740,12,283.8719465346849,female_male
1,2021,21720,0,376.14668340617226,total_pre
1,2021,21720,1,318.6485379249735,male
1,2021,21720,2,128.51792588286574,female
1,2021,21720,4,216.72825140517793,total_post
2,2021,21720,0,90.72275510079187,total_pre
2,2021,21720,1,196.1456834286082,male
2,2021,21720,2,44.79661998441085,female
2,2021,21720,4,82.65858154917342,total_post
3,2021,21720,0,398.912786857603,total_pre
3,2021,21720,1,837.0576494450852,male
3,2021,21720,2,95.30375113658778,female
3,2021,21720,4,306.05890553914764,total_post
4,2021,21720,0,266.28055885742737,total_pre
4,2021,21720,1,132.8247162340873,male
4,2021,21720,2,138.74988249219436,female
4,2021,21720,4,138.60758251653812,total_post
5,2021,21720,0,305.92554069336325,total_pre
5,2021,21720,1,366.8932017184531,male
5,2021,21720,2,264.3202652431635,female
5,2021,21720,4,498.2663428896812,total_post
1,2021,21720,12,423.04286330016873,female_male
2,2021,21720,12,165.18072613540204,female_male
3,2021,21720,12,404.21207828671345,female_male
4,2021,21720,12,301.95804150082495,female_male
5,2021,21720,12,649.5489153001067,female_male
1,2021,21740,0,131.53801747949834,total_pre
1,2021,21740,1,157.89817519258813,male
1,2021,21740,2,94.70814804604025,female
1,2021,21740,4,167.3808437576878,total_post
2,2021,21740,0,197.81891200735487,total_pre
2,2021,21740,1,61.61307328806464,male
2,2021,21740,2,218.0961472007515,female
2,2021,21740,4,151.4617602806674,total_post
3,2021,21740,0,208.32620169923885,total_pre
3,2021,21740,1,121.44490153284842,male
3,2021,21740,2,79.78810954854644,female
3,2021,21740,4,129.80297786760093,total_post
4,2021,21740,0,188.96026848825372,total_pre
4,2021,21740,1,86.6047710008619,male
4,2021,21740,2,87.71036719422932,female
4,2021,21740,4,112.4157794435314,total_post
5,2021,21740,0,100.47035852862842,total_pre
5,2021,21740,1,148.68260969019073,male
5,2021,21740,2,95.59050665995477,female
5,2021,21740,4,159.65892922580917,total_post
1,2021,21740,12,258.00527680087356,female_male
2,2021,21740,12,193.6383108603472,female_male
3,2021,21740,12,206.6952948377181,female_male
4,2021,21740,12,183.04121884856963,female_male
5,2021,21740,12,252.74596994860494,female_male
1,2022,21720,0,532.8622517047781,total_pre
1,2022,21720,1,505.5437902235236,male
1,2022,21720,2,1118.7579245812187,female
1,2022,21720,4,976.1641858237311,total_post
2,2022,21720,0,206.15471595948114,total_pre
2,2022,21720,1,108.09747374317251,male
2,2022,21720,2,360.4495347744972,female
2,2022,21720,4,229.6045250424691,total_post
3,2022,21720,0,451.9438606354223,total_pre
3,2022,21720,1,345.03973210491506,male
3,2022,21720,2,394.5074349331544,female
3,2022,21720,4,670.2654323481391,total_post
4,2022,21720,0,430.2664431389086,total_pre
4,2022,21720,1,279.1039449501944,male
4,2022,21720,2,701.5560294132986,female
4,2022,21720,4,460.2747232620039,total_post
5,2022,21720,0,315.93627390519487,total_pre
5,2022,21720,1,120.38625015947692,male
5,2022,21720,2,252.06760856517448,female
5,2022,21720,4,291.6196720189282,total_post
1,2022,21720,12,1284.023606946554,female_male
2,2022,21720,12,360.93479377658844,female_male
3,2022,21720,12,738.310092575374,female_male
4,2022,21720,12,858.2062326884254,female_male
5,2022,21720,12,352.40199524865056,female_male
1,2022,21740,0,105.41295213564422,total_pre
1,2022,21740,1,93.12267221603925,male
1,2022,21740,2,104.76412947301257,female
1,2022,21740,4,128.87927723248416,total_post
2,2022,21740,0,201.85767238279317,total_pre
2,2022,21740,1,120.75586920687147,male
2,2022,21740,2,163.91720627332828,female
2,2022,21740,4,175.23569903171204,total_post
3,2022,21740,0,47.50792404128679,total_pre
3,2022,21740,1,47.44189944588709,male
3,2022,21740,2,54.43689610230234,female
3,2022,21740,4,65.13268695358461,total_post
4,2022,21740,0,291.229639729677,total_pre
4,2022,21740,1,215.55939880496632,male
4,2022,21740,2,279.9870663891828,female
4,2022,21740,4,311.50079832020344,total_post
5,2022,21740,0,239.32959609665582,total_pre
5,2022,21740,1,123.29618258032963,male
5,2022,21740,2,386.3599032318293,female
5,2022,21740,4,302.8346256373679,total_post
1,2022,21740,12,213.60989031894937,female_male
2,2022,21740,12,285.58419098165695,female_male
3,2022,21740,12,109.21494070857389,female_male
4,2022,21740,12,535.7365459311632,female_male
5,2022,21740,12,403.23117170770195,female_male
1,2023,21720,0,459.77230525904514,total_pre
1,2023,21720,1,148.631083509163,male
1,2023,21720,2,181.41553898306546,female
1,2023,21720,4,224.02991723347924,total_post
2,2023,21720,0,198.90981229472303,total_pre
2,2023,21720,1,367.28277709182106,male
2,2023,21720,2,123.84568603344783,female
