sim,year,species_code,sex,rss,sex_desc
3,2017,21740,4,11766.533640068514,total_post
4,2017,21740,0,5297.22771333878,total_pre
4,2017,21740,1,4071.7349299588536,male
4,2017,21740,2,4067.3345167257007,female
4,2017,21740,4,5297.227587135073,total_post
5,2017,21740,0,10805.88793531842,total_pre
5,2017,21740,1,2803.9982641917222,male
5,2017,21740,2,4046.569298236255,female
5,2017,21740,4,10805.888308819469,total_post
1,2017,21740,12,6395.887233625628,female_male
2,2017,21740,12,6812.713868973931,female_male
3,2017,21740,12,12455.176096790405,female_male
4,2017,21740,12,8291.294238134104,female_male
5,2017,21740,12,6465.276042897498,female_male
1,2018,21720,0,3832.301439225653,total_pre
1,2018,21720,1,2052.796985868639,male
1,2018,21720,2,2362.3477725145995,female
1,2018,21720,4,3832.2962813280105,total_post
2,2018,21720,0,2298.3044216920352,total_pre
2,2018,21720,1,1226.92001702959,male
2,2018,21720,2,1933.2254520192078,female
2,2018,21720,4,2298.304712872938,total_post
3,2018,21720,0,3490.728135615702,total_pre
3,2018,21720,1,1720.794015967526,male
3,2018,21720,2,2044.764939803548,female
3,2018,21720,4,3490.7283981287,total_post
4,2018,21720,0,2689.881672101496,total_pre
4,2018,21720,1,1646.8249034915868,male
4,2018,21720,2,1603.6291059079465,female
4,2018,21720,4,2689.881732602658,total_post
5,2018,21720,0,2967.855037148939,total_pre
5,2018,21720,1,1570.6658675281603,male
5,2018,21720,2,2073.4159734500554,female
5,2018,21720,4,2967.8568790112854,total_post
1,2018,21720,12,4424.251054809161,female_male
2,2018,21720,12,3039.8872679366486,female_male
3,2018,21720,12,3769.125681132072,female_male
4,2018,21720,12,3279.2044056917975,female_male
5,2018,21720,12,3607.4843383599637,female_male
1,2018,21740,0,1101.821748876827,total_pre
1,2018,21740,1,818.6768558247192,male
1,2018,21740,2,925.6653808388879,female
1,2018,21740,4,1101.8217197689794,total_post
2,2018,21740,0,843.1957259028586,total_pre
2,2018,21740,1,715.4576638739442,male
2,2018,21740,2,510.28012415371944,female
2,2018,21740,4,843.1957022357212,total_post
3,2018,21740,0,3985.1686292395357,total_pre
