year,species_code,sex,age,agepop,mean_length,sd_length
2021,21720,1,2,51548761,37.7,3.62
2021,21720,1,3,92428514,45.79,3.41
2021,21720,1,4,28708842,56.15,4.29
2021,21720,1,5,18721872,67.96,3.76
2021,21720,1,6,13857850,75.56,4.57
2021,21720,1,7,6985619,80.52,4.33
2021,21720,1,8,865374,88.42,3.42
2021,21720,1,9,43873,93,0
2021,21720,2,1,49897971,22.18,2.99
2021,21720,2,2,44085888,38.15,3.24
2021,21720,2,3,87489557,45.86,3.43
2021,21720,2,4,29074180,56.15,4.58
2021,21720,2,5,11869192,67.89,4.21
2021,21720,2,6,12132921,77.37,4.12
2021,21720,2,7,12566749,84.25,5.03
2021,21720,2,8,2741758,94.35,5.06
2021,21720,2,9,419664,97.65,1.23
2021,21720,3,1,5094008,19.34,4.07
2021,21720,3,2,354672,38.77,4.49
2021,21720,3,3,1041843,46.85,3.93
2021,21720,3,4,737598,56.88,4.57
2021,21720,3,5,507746,67.51,3.45
2021,21720,3,6,392045,77.05,4.89
2021,21720,3,7,436232,84.16,4.83
2021,21720,3,8,235539,92.2,3.51
2021,21740,1,1,194638152,16.8,1.97
2021,21740,1,2,483801970,27.27,3.1
2021,21740,1,3,326143507,33.97,3.05
2021,21740,1,4,323486107,39.05,2.11
2021,21740,1,5,211398206,43.25,2.32
2021,21740,1,6,562768771,46.32,2.41
2021,21740,1,7,590868836,48.58,2.42
2021,21740,1,8,218961505,50.77,2.35
2021,21740,1,9,90784660,52.61,2.54
2021,21740,1,10,55180400,54.23,3.18
2021,21740,1,11,32786480,56.34,2.6
2021,21740,1,12,20861561,57.24,3.84
2021,21740,1,14,831879,66,0
2021,21740,2,1,158526879,17.07,2.33
2021,21740,2,2,415311249,28.22,3.19
2021,21740,2,3,253463981,34.68,2.67
2021,21740,2,4,252090344,39.09,2.2
2021,21740,2,5,195188116,44.08,2.68
2021,21740,2,6,480320236,47.61,2.86
2021,21740,2,7,626780402,50.48,2.5
2021,21740,2,8,261233708,52.92,3.33
2021,21740,2,9,101126596,54.74,3.19
2021,21740,2,10,57607928,56.72,4.15
2021,21740,2,11,37967089,55.17,3.03
2021,21740,2,12,16765216,58.35,4.26
2021,21740,2,13,7730283,58.04,2.91
2021,21740,2,14,8568735,60.43,1.73
2021,21740,3,1,526060637,13.24,1.72
2021,21740,3,2,1059950,26.72,2.67
2021,21740,3,3,423802,35.03,4.17
2021,21740,3,4,1632349,41.38,1.61
2021,21740,3,5,3957131,44.33,2.05
2021,21740,3,6,11158685,46.69,2.14
2021,21740,3,7,10671133,48.59,2.25
2021,21740,3,8,3025963,50.97,3.35
2021,21740,3,9,890579,53.31,3.38
2021,21740,3,10,424100,55.04,4.37
2021,21740,3,11,281004,55.87,3.28
2021,21740,3,12,93767,56.55,4.5
2021,21740,3,13,48408,59.4,2.6
2021,21740,3,14,108383,63.89,2.87
2022,21720,1,1,51204258,19.11,2.75
2022,21720,1,2,46946553,36.83,2.54
2022,21720,1,3,46996265,44.37,3.77
2022,21720,1,4,75153463,54.95,4.36
2022,21720,1,5,12225383,65.21,3.71
2022,21720,1,6,10499295,75.25,3.77
2022,21720,1,7,4653307,80.24,5.96
2022,21720,1,8,2867448,86.19,4.37
2022,21720,1,9,423662,89.95,2.08
2022,21720,2,1,40263138,19.58,2.49
2022,21720,2,2,43870145,36.74,2.29
2022,21720,2,3,43486947,44.43,3.48
2022,21720,2,4,70387881,55.08,4.14
2022,21720,2,5,16471384,66.94,4.11
2022,21720,2,6,8646336,78.28,4.59
2022,21720,2,7,7933677,86.27,4.45
2022,21720,2,8,1980216,91.75,4.07
2022,21720,2,9,1083782,97.25,2.86
2022,21720,2,10,139252,94,0
2022,21720,3,1,14006368,14.71,2.6
2022,21720,3,2,969661,35.77,2.48
2022,21720,3,3,229222,41.5,2.98
2022,21720,3,4,222073,56.26,4.24
2022,21720,3,5,26921,64.18,2.91
2022,21740,1,1,44173629,16.13,1.74
2022,21740,1,2,239637615,27.72,2.5
2022,21740,1,3,400562479,34.94,2.08
2022,21740,1,4,1150369997,39.51,2.48
2022,21740,1,5,629650932,43.04,2.27
2022,21740,1,6,285153255,46.62,2.13
2022,21740,1,7,505096280,48.41,2.57
2022,21740,1,8,372172163,50.59,2.66
2022,21740,1,9,158821335,52.07,3.22
2022,21740,1,10,55175748,54.27,3.34
2022,21740,1,11,20645414,56.48,2.93
2022,21740,1,12,11676336,58.7,3.67
2022,21740,1,13,3302960,57,0
2022,21740,1,14,2496876,58.73,4.14
2022,21740,2,1,49877348,16.01,1.85
2022,21740,2,2,208119095,27.79,2.54
2022,21740,2,3,281413179,34.46,2.32
2022,21740,2,4,1026292296,40.03,2.51
2022,21740,2,5,581943551,43.81,2.27
2022,21740,2,6,286139095,47.44,2.49
2022,21740,2,7,432594947,50.39,2.62
2022,21740,2,8,382715026,52.37,3.39
2022,21740,2,9,182060290,55.05,3.66
2022,21740,2,10,98580807,56.13,2.94
2022,21740,2,11,56546828,58.71,4.03
2022,21740,2,12,30266511,60.42,4.01
2022,21740,2,13,9293366,63.7,3.49
2022,21740,2,14,3439355,63.3,1.49
2022,21740,2,17,984972,63,0
2022,21740,3,1,696244234,12.8,1.95
2022,21740,3,2,2611763,26.78,2.42
2022,21740,3,3,672740,33.77,1.36
2022,21740,3,4,277061,35.99,2.55
2022,21740,3,5,85452,46.07,2.2
2022,21740,3,6,156609,48.96,2.32
2022,21740,3,7,514137,50.84,2.5
2022,21740,3,8,568376,52.49,2.79
2022,21740,3,9,291360,54.17,3.49
2022,21740,3,10,136581,54.89,2.71
2022,21740,3,11,69187,59.04,5.14
2022,21740,3,12,37781,61.91,5.73
2022,21740,3,13,21491,65.41,3.91
2022,21740,3,14,1150,56,0
2023,21720,1,1,73753493,19.84,3.38
2023,21720,1,2,80656152,35.71,3.61
2023,21720,1,3,30160516,45.02,3.44
2023,21720,1,4,53920608,54.24,3.95
2023,21720,1,5,30119562,64.1,4.56
2023,21720,1,6,7241975,73.41,3.9
2023,21720,1,7,3220056,82.29,5.68
2023,21720,1,8,2640416,85.66,3.47
2023,21720,1,9,359152,87.87,5.46
2023,21720,2,1,74873860,20.13,3.43
2023,21720,2,2,89173305,35.05,4.19
2023,21720,2,3,31320360,45.35,3.75
2023,21720,2,4,44355976,54.78,3.99
2023,21720,2,5,32616271,64.61,5.1
2023,21720,2,6,8507236,76.4,4.87
2023,21720,2,7,2677097,85.71,5.04
2023,21720,2,8,3023697,90.96,6.08
2023,21720,2,9,1377860,95.3,3.69
2023,21720,3,1,23845363,14.51,2.7
2023,21720,3,2,304159,33.02,5.62
2023,21720,3,3,187557,46.49,3.31
2023,21720,3,4,394997,54.78,4.32
