year,species_code,sex,age,mean_length_bs,sd_length_bs,mean_length,sd_length
2016,21720,1,1,22.665939999999992,0.3635757018585867,22.53,2.61
2016,21720,1,2,36.116440000000026,0.8061003174814456,35.89,3.63
2016,21720,1,3,45.55125999999999,0.429229412058811,45.54,3.94
2016,21720,1,4,51.28165999999997,0.7599954147630907,51.19,5.48
2016,21720,1,5,61.51954000000001,0.8067023774922838,61.57,6.02
2016,21720,1,6,66.87861999999998,1.711823523366326,67.19,6.86
2016,21720,1,7,70.80236000000004,3.995465419476994,70.31,8.94
2016,21720,1,8,86.01590361445788,2.5754068434331305,85.87,3.51
2016,21720,1,9,81.56368421052635,0.9287806223056224,81.9,1.08
2016,21720,1,10,86,0,86,0
2016,21720,1,11,85.6024647887324,5.280173354395292,85.58,5.49
2016,21720,2,1,22.512959999999996,0.3817584543069999,22.44,2.7
2016,21720,2,2,36.174040000000005,0.9500151240226355,35.75,4.02
2016,21720,2,3,45.65862000000004,0.4063029162083862,45.6,4.23
2016,21720,2,4,52.008160000000004,0.8198515276895625,51.92,5.35
2016,21720,2,5,63.370700000000035,1.0927300801461046,63.4,6.73
2016,21720,2,6,68.58181999999995,1.5636663943391411,69,7.24
2016,21720,2,7,77.94319999999998,3.3975168581779265,78.08,7.96
2016,21720,2,8,80.29439999999991,6.060224689446188,79.4,10.11
2016,21720,2,9,86.644152892562,9.5332913628221565,82.68,11.3
2016,21720,2,10,100.2782044198895,2.997763770827645,100.58,2.28
2016,21720,3,1,15.410684647302904,2.5022716806029655,13.84,2.15
2016,21720,3,2,37.63897058823527,2.029029958889567,36.84,2.62
2016,21720,3,3,44.07309794988612,2.0893631388536447,43.22,4.98
2016,21720,3,4,52.178177676537615,1.7019490184813582,52.08,5.49
2016,21720,3,5,63.476182212581364,4.255298354811978,63.05,6.9
2016,21720,3,6,66.90746696035242,6.0000709684920635,68.45,8.14
2016,21720,3,7,67.7717741935484,6.68377748581379,70.61,8.15
2016,21720,3,8,70,0,70,0
2016,21720,4,1,21.76516831596652,0.9048001559119401,21.476445337139218,2.5950392220675864
2016,21720,4,2,36.17821163873185,0.6374561099177499,35.83164748161903,3.8021742689114815
2016,21720,4,3,45.60076218406585,0.30696406537795445,45.56456631847704,4.086329561946327
2016,21720,4,4,51.612596142911016,0.5942531612594893,51.54413278375714,5.417172793245094
2016,21720,4,5,62.38794759647113,0.6605863021892456,62.449233815219564,6.361489934863671
2016,21720,4,6,67.78681356027468,1.1394270028505984,68.22035297024675,7.077903884514474
2016,21720,4,7,74.29299053580729,2.9253319656173518,74.42647672294943,8.419201623923426
2016,21720,4,8,81.11233197837372,4.714550624029499,81.04444743913399,8.426009626542658
2016,21720,4,9,83.13389800740906,5.770341210463015,82.4036330431531,7.678884232083096
2016,21720,4,10,96.03395276202406,5.788584786003495,96.86565795862874,1.6991563885921463
2016,21720,4,11,85.6024647887324,5.280173354395292,85.58,5.49
2016,21740,0,1,15.256920000000003,0.38001860728623216,15.43,2.59
2016,21740,0,2,23.954100000000025,0.6410895269485584,24.03,2.72
2016,21740,0,3,33.51755999999998,0.9811551238995333,33.23,4.12
2016,21740,0,4,41.42916,0.22310635870496637,41.39,2.32
2016,21740,0,5,43.62218000000003,0.4586966894428296,43.61,2.79
2016,21740,0,6,46.240000000000016,0.44309532488378595,46.19,2.51
2016,21740,0,7,47.97342000000001,0.3693553171413689,47.94,2.88
2016,21740,0,8,50.14244000000002,0.265990880853827,50.17,3.12
2016,21740,0,9,51.35209999999998,0.8413795987891061,51.36,3.77
2016,21740,0,10,53.07967999999997,1.615192989827772,53.13,4.65
2016,21740,0,11,56.72820000000003,2.518835171511325,57.1,4.6
2016,21740,0,12,57.56890339425588,11.110968961123094,50.61,8.36
2016,21740,0,13,59.7652183908046,3.1406304418080184,60.37,3.45
2016,21740,0,14,62.91043981481483,1.9334887360481372,63.21,2.31
2016,21740,0,15,65.59835579514824,2.7872781923798575,64.54,2.62
2016,21740,0,17,62,0,62,0
2016,21740,1,1,16.0476,0.5224973175948252,16.37,2.35
2016,21740,1,2,23.92805999999998,0.9495274831633705,24.05,2.49
2016,21740,1,3,33.25516,1.3716756038964348,33.09,3.62
2016,21740,1,4,41.13125999999998,0.2786012377922948,40.99,2.36
2016,21740,1,5,43.33310000000003,0.6041766702693804,43.26,2.81
2016,21740,1,6,45.67140000000002,0.621269338678777,45.64,2.28
2016,21740,1,7,47.379040000000025,0.48960811943966226,47.35,2.58
2016,21740,1,8,49.32045999999997,0.3326266215122857,49.37,2.75
2016,21740,1,9,50.71151999999998,1.127000243432713,50.78,3.54
2016,21740,1,10,51.730740000000054,2.301672140354348,51.42,4.27
2016,21740,1,11,61.442480417754574,2.336820424272297,60.51,2.29
2016,21740,1,13,56,0,56,0
2016,21740,1,14,61.47274725274724,0.46550145581333324,61.2,0.4
2016,21740,1,15,65.53639344262292,2.8027554149464553,64.55,2.63
2016,21740,1,17,62,0,62,0
2016,21740,2,1,16.436499999999995,0.6220764488520949,16.71,2.37
2016,21740,2,2,23.827379999999977,0.7800190992471792,23.87,2.57
2016,21740,2,3,34.317560000000014,1.4649717850737345,33.74,4.89
2016,21740,2,4,41.84351999999996,0.2683864231742891,41.79,2.25
2016,21740,2,5,44.08118000000002,0.6145330824445805,44.08,2.66
2016,21740,2,6,46.81044000000001,0.6375801308435615,46.71,2.59
2016,21740,2,7,48.85343999999999,0.6138868629976718,48.77,3
2016,21740,2,8,50.90936000000003,0.3842542036022143,51,3.26
2016,21740,2,9,51.73975999999999,1.1094509024783477,51.82,3.62
2016,21740,2,10,54.479300000000016,1.7818175713903575,54.98,4.32
2016,21740,2,11,55.62238476953907,2.7459405825655474,55.91,4.32
2016,21740,2,12,57.59527415143602,11.238763923087141,49.52,7.18
2016,21740,2,13,61.77456756756755,2.8321833059708696,60.97,2.82
2016,21740,2,14,66,0,66,0
2016,21740,3,1,13.581660000000001,0.15073182998006188,13.58,1.48
2016,21740,3,2,20.990080160320623,2.0023041931521877,20.35,3.37
2016,21740,3,3,30.2859100204499,2.750664979228234,29.78,4.08
2016,21740,3,4,41.411344339622666,2.418928574009935,42.13,2.02
