year,survey,species_code,stratum,hauljoin,sex,length,age,lat_mid,long_mid
2013,98,21740,50,-10020,2,600,10,55.33276,-165.17104
2013,98,21740,50,-10020,2,520,7,55.33276,-165.17104
2013,98,21740,50,-10020,2,410,5,55.33276,-165.17104
2013,98,21740,31,-10021,3,130,1,55.650155,-165.19478
2013,98,21740,31,-10021,3,120,1,55.650155,-165.19478
2013,98,21740,31,-10021,1,600,11,55.650155,-165.19478
2013,98,21740,31,-10021,2,580,7,55.650155,-165.19478
2013,98,21740,31,-10021,1,600,8,55.650155,-165.19478
2013,98,21740,31,-10021,1,620,11,55.650155,-165.19478
2013,98,21740,31,-10021,2,610,9,55.650155,-165.19478
2013,98,21740,31,-10021,2,550,8,55.650155,-165.19478
2013,98,21720,50,-10022,2,530,4,55.66769,-165.806955
2013,98,21720,50,-10022,2,400,3,55.66769,-165.806955
2013,98,21720,50,-10022,1,600,5,55.66769,-165.806955
2013,98,21720,50,-10022,1,560,4,55.66769,-165.806955
2013,98,21720,50,-10022,1,690,5,55.66769,-165.806955
2013,98,21740,50,-10023,1,530,8,55.680845,-166.38771
2013,98,21740,50,-10023,2,590,7,55.680845,-166.38771
2013,98,21740,50,-10023,2,600,7,55.680845,-166.38771
2013,98,21740,50,-10023,2,570,5,55.680845,-166.38771
2013,98,21740,50,-10023,2,550,7,55.680845,-166.38771
2013,98,21740,50,-10023,1,550,9,55.680845,-166.38771
2013,98,21740,31,-10024,1,460,4,56.324335,-166.41348
2013,98,21740,31,-10024,1,500,5,56.324335,-166.41348
2013,98,21740,31,-10024,1,570,6,56.324335,-166.41348
2013,98,21740,31,-10024,2,530,5,56.324335,-166.41348
2013,98,21740,31,-10024,2,540,7,56.324335,-166.41348
2013,98,21740,31,-10024,2,570,6,56.324335,-166.41348
2013,98,21740,31,-10024,3,150,1,56.324335,-166.41348
2013,98,21740,31,-10024,3,160,1,56.324335,-166.41348
2013,98,21720,50,-10025,2,610,5,55.99787,-166.39974
2013,98,21720,50,-10025,2,660,5,55.99787,-166.39974
2013,98,21720,50,-10025,2,490,3,55.99787,-166.39974
2013,98,21720,50,-10025,2,510,4,55.99787,-166.39974
2013,98,21720,50,-10025,2,540,3,55.99787,-166.39974
2013,98,21720,50,-10025,2,520,4,55.99787,-166.39974
2013,98,21720,50,-10025,2,670,5,55.99787,-166.39974
2013,98,21720,50,-10025,2,750,6,55.99787,-166.39974
2013,98,21720,50,-10025,2,700,5,55.99787,-166.39974
2013,98,21720,50,-10025,2,560,5,55.99787,-166.39974
2013,98,21720,50,-10025,2,690,5,55.99787,-166.39974
2013,98,21720,50,-10025,1,560,4,55.99787,-166.39974
2013,98,21720,50,-10025,1,700,5,55.99787,-166.39974
2013,98,21720,50,-10025,1,710,6,55.99787,-166.39974
2013,98,21720,20,-10075,2,700,NA,59.628045,-165.928435
2013,98,21720,20,-10075,2,280,2,59.628045,-165.928435
2013,98,21720,20,-10075,2,290,2,59.628045,-165.928435
2013,98,21720,20,-10075,2,310,2,59.628045,-165.928435
2013,98,21720,20,-10077,3,150,1,60.32835,-167.988765
2013,98,21720,20,-10077,3,120,1,60.32835,-167.988765
2013,98,21720,20,-10077,2,610,6,60.32835,-167.988765
2013,98,21720,20,-10077,2,640,6,60.32835,-167.988765
2013,98,21720,20,-10077,2,630,4,60.32835,-167.988765
2013,98,21720,20,-10077,2,590,5,60.32835,-167.988765
2013,98,21720,20,-10077,2,750,9,60.32835,-167.988765
2013,98,21720,20,-10077,2,300,2,60.32835,-167.988765
2013,98,21720,20,-10077,2,180,1,60.32835,-167.988765
2013,98,21720,20,-10077,2,190,1,60.32835,-167.988765
2013,98,21720,20,-10077,2,170,1,60.32835,-167.988765
2013,98,21720,20,-10077,1,340,2,60.32835,-167.988765
2013,98,21720,20,-10077,1,540,4,60.32835,-167.988765
2013,98,21720,20,-10077,1,640,NA,60.32835,-167.988765
2013,98,21720,20,-10080,2,520,4,59.32084,-167.919675
2013,98,21720,20,-10080,2,460,3,59.32084,-167.919675
2013,98,21720,20,-10080,2,350,3,59.32084,-167.919675
